company,code,listing_date
한진중공업홀딩스,003480,1956-03-03
유수홀딩스,000700,1956-03-03
경방,000050,1956-03-03
CJ대한통운,000120,1956-07-02
유한양행,000100,1962-11-01
디아이동일,001530,1964-01-04
대한항공,003490,1966-03-18
전방,000950,1968-10-21
세기상사,002420,1968-12-27
삼양홀딩스,000070,1968-12-27
한국앤컴퍼니,000240,1968-12-27
대한전선,001440,1968-12-27
대한제당,001790,1968-12-27
세아제강지주,003030,1969-05-13
엔피씨,004250,1969-09-08
한일홀딩스,003300,1969-11-20
한국주철관공업,000970,1969-12-12
코리안리,003690,1969-12-22
동아쏘시오홀딩스,000640,1970-02-10
LG,003550,1970-02-13
대상,001680,1970-04-01
대한제분,001130,1970-11-25
롯데손해보험,000400,1971-04-16
벽산,007210,1972-01-04
한솔홀딩스,004150,1972-05-17
제주은행,006220,1972-12-28
아모레퍼시픽그룹,002790,1973-04-30
일신방직,003200,1973-05-23
롯데칠성음료,005300,1973-06-21
영진약품,003520,1973-06-25
케이씨씨,002380,1973-06-25
대웅,003090,1973-06-26
TYM,002900,1973-06-26
진양산업,003780,1973-06-26
DB손해보험,005830,1973-06-28
휴스틸,005010,1973-06-29
CJ,001040,1973-06-29
두산,000150,1973-06-29
효성,004800,1973-06-30
기아,000270,1973-07-21
노루홀딩스,000320,1973-08-10
하이트진로홀딩스,000140,1973-09-19
금호전기,001210,1973-11-15
LS네트웍스,000680,1973-11-15
아이에이치큐,003560,1973-12-18
서울식품공업,004410,1973-12-28
대한방직,001070,1973-12-28
롯데지주,004990,1974-02-16
카프로,006380,1974-05-28
아세아,002030,1974-06-03
한화솔루션,009830,1974-06-19
모나미,005360,1974-06-26
한국수출포장공업,002200,1974-06-28
현대자동차,005380,1974-06-28
한진,002320,1974-08-12
일양약품,007570,1974-08-28
우리종금,010050,1974-09-11
흥국화재,000540,1974-12-05
SPC삼립,005610,1975-05-02
쌍용씨앤이,003410,1975-05-03
KG모빌리티,003620,1975-05-29
BYC,001460,1975-06-02
대유플러스,000300,1975-06-09
삼성전자,005930,1975-06-11
코오롱,002020,1975-06-23
태원물산,001420,1975-06-24
깨끗한나라,004540,1975-06-25
오리온홀딩스,001800,1975-06-27
대동,000490,1975-06-27
NI스틸,008260,1975-06-28
일동홀딩스,000230,1975-06-28
삼성화재해상보험,000810,1975-06-30
한화손해보험,000370,1975-06-30
삼양식품,003230,1975-06-30
삼성제약,001360,1975-07-04
NH투자증권,005940,1975-09-30
신일전자,002700,1975-09-30
미래에셋증권,006800,1975-09-30
대신증권,003540,1975-10-01
강남제비스코,000860,1975-11-12
유유제약,000220,1975-11-18
대림통상,006570,1975-11-20
DB하이텍,000990,1975-12-12
신성통상,005390,1975-12-22
CS홀딩스,000590,1975-12-22
한일현대시멘트,006390,1975-12-26
부산주공,005030,1975-12-26
태광산업,003240,1975-12-27
국제약품,002720,1975-12-27
LX인터내셔널,001120,1976-01-30
DL,000210,1976-02-02
동화약품,000020,1976-03-24
롯데정밀화학,004000,1976-04-15
SG세계물산,004060,1976-04-19
넥센타이어,002350,1976-05-19
DRB동일,004840,1976-05-21
SUN&L,002820,1976-05-22
고려제강,002240,1976-05-25
태양금속공업,004100,1976-05-25
KR모터스,000040,1976-05-25
삼화왕관,004450,1976-05-28
한창,005110,1976-06-01
성창기업지주,000180,1976-06-02
백광산업,001340,1976-06-10
영풍,000670,1976-06-12
JW중외제약,001060,1976-06-14
한화,000880,1976-06-24
동양,001520,1976-06-25
금호건설,002990,1976-06-26
삼부토건,001470,1976-06-26
페이퍼코리아,001020,1976-06-26
삼화콘덴서공업,001820,1976-06-26
GS글로벌,001250,1976-06-26
흥아해운,003280,1976-06-29
SG글로벌,001380,1976-06-29
샘표,007540,1976-06-29
SK디스커버리,006120,1976-06-29
삼영,003720,1976-06-30
농심,004370,1976-06-30
크라운해태홀딩스,005740,1976-06-30
신라교역,004970,1976-06-30
성신양회,004980,1976-06-30
한독,002390,1976-06-30
종근당홀딩스,001630,1976-06-30
신풍,002870,1976-06-30
한신공영,004960,1976-07-07
SNT다이내믹스,003570,1976-07-08
비비안,002070,1976-07-13
사조대림,003960,1976-09-16
금양,001570,1976-12-17
삼천리,004690,1976-12-23
조흥,002600,1976-12-23
성보화학,003080,1976-12-23
조광페인트,004910,1976-12-27
신영와코루,005800,1976-12-28
남광토건,001260,1976-12-28
한국공항,005430,1976-12-28
삼영전자공업,005680,1976-12-28
조비,001550,1976-12-28
오리엔트바이오,002630,1976-12-28
대유에이텍,002880,1977-02-18
동양철관,008970,1977-03-05
세방,004360,1977-05-19
조광피혁,004700,1977-05-27
만호제강,001080,1977-06-18
대원강업,000430,1977-06-22
천일고속,000650,1977-06-23
진흥기업,002780,1977-06-25
송원산업,004430,1977-06-25
한국석유공업,004090,1977-06-25
동방아그로,007590,1977-06-29
티웨이홀딩스,004870,1977-06-30
LS,006260,1977-06-30
SK네트웍스,001740,1977-06-30
경농,002100,1977-06-30
현대코퍼레이션,011760,1977-12-01
DL건설,001880,1977-12-22
한국화장품제조,003350,1978-02-06
남선알미늄,008350,1978-05-22
남양유업,003920,1978-06-24
현대약품,004310,1978-06-28
조선내화,000480,1978-06-30
녹십자홀딩스,005250,1978-08-28
빙그레,005180,1978-08-31
코오롱글로벌,003070,1978-09-15
케이씨티시,009070,1978-09-29
동부건설,005960,1978-10-30
삼성SDI,006400,1979-02-27
삼성전기,009150,1979-02-27
한국전자홀딩스,006200,1979-11-30
삼아알미늄,006110,1980-12-05
GS건설,006360,1981-08-03
현대미포조선,010620,1983-12-20
아남전자,008700,1984-08-11
F&F 홀딩스,007700,1984-10-04
에이프로젠바이오로직스,003060,1984-10-19
TCC스틸,002710,1984-12-21
현대건설,000720,1984-12-22
일성신약,003120,1985-01-14
인스코비,006490,1985-01-17
삼일제약,000520,1985-05-29
OCI홀딩스,010060,1985-07-09
신세계,004170,1985-08-19
코리아써키트,007810,1985-09-09
대한화섬,003830,1985-12-23
SH에너지화학,002360,1985-12-23
아이에스동서,010780,1986-01-27
KG스틸,016380,1986-02-03
일신석재,007110,1986-03-04
평화홀딩스,010770,1986-03-31
SK증권,001510,1986-09-20
삼화전기,009470,1986-11-24
한화투자증권,003530,1986-11-25
사조오양,006090,1986-12-24
현대비앤지스틸,004560,1987-03-24
써니전자,004770,1987-04-22
현대제철,004020,1987-05-23
삼화전자공업,011230,1987-05-25
한화에어로스페이스,012450,1987-05-27
S-Oil,010950,1987-05-27
가온전선,000500,1987-06-08
코스모화학,005420,1987-07-23
한신기계공업,011700,1987-07-24
유화증권,003460,1987-08-24
유진증권,001200,1987-08-24
신영증권,001720,1987-08-24
덕성,004830,1987-09-25
코스모신소재,005070,1987-09-28
한국무브넥스,010100,1987-10-02
참엔지니어링,009310,1987-11-12
진원생명과학,011000,1987-11-16
세방전지,004490,1987-11-28
삼성공조,006660,1987-11-28
넥센,005720,1987-12-19
한창제지,009460,1987-12-23
에이엔피,015260,1988-01-18
제일파마홀딩스,002620,1988-01-20
유안타증권,003470,1988-01-21
금호석유화학,011780,1988-01-22
한양증권,001750,1988-03-04
삼영무역,002810,1988-03-28
삼성증권,016360,1988-03-28
이수화학,005950,1988-04-28
대원전선,006340,1988-05-04
동국홀딩스,001230,1988-05-09
파미셀,005690,1988-05-20
범양건영,002410,1988-05-25
POSCO홀딩스,005490,1988-06-10
삼진제약,005500,1988-06-18
한미사이언스,008930,1988-06-20
DB금융투자,016610,1988-06-27
계양전기,012200,1988-07-06
한솔테크닉스,004710,1988-07-06
부국증권,001270,1988-07-19
풍산홀딩스,005810,1988-07-28
부광약품,003000,1988-08-05
동방,004140,1988-08-10
한국쉘석유,002960,1988-08-10
신원,009270,1988-08-24
율촌화학,008730,1988-08-30
플레이그램,009810,1988-08-31
금강공업,014280,1988-09-10
혜인,003010,1988-09-20
상상인증권,001290,1988-09-23
보해양조,000890,1988-09-23
DN오토모티브,007340,1988-09-24
화성산업,002460,1988-09-29
삼익악기,002450,1988-09-30
한일철강,002220,1988-10-07
유성기업,002920,1988-10-10
대구백화점,006370,1988-10-10
우성,006980,1988-10-10
모나리자,012690,1988-10-14
이건산업,008250,1988-10-21
보령,003850,1988-10-24
더존비즈온,012510,1988-10-28
더존비즈온,012510,1988-10-28
영원무역홀딩스,009970,1988-11-07
에스엘,005850,1988-11-08
조일알미늄,018470,1988-11-22
SHD,001770,1988-11-23
CJ씨푸드,011150,1988-11-26
화천기계,010660,1988-12-12
아세아제지,002310,1988-12-15
태림포장,011280,1988-12-20
이스타코,015020,1988-12-23
모헨즈,006920,1989-01-05
대덕,008060,1989-01-26
한성기업,003680,1989-01-26
동원산업,006040,1989-03-07
리더스 기술투자,019570,1989-03-14
엠벤처투자,019590,1989-03-14
퍼스텍,010820,1989-05-10
한솔케미칼,014680,1989-05-20
큐로,015590,1989-05-27
디와이,013570,1989-05-30
방림,003610,1989-05-30
한솔피엔에스,010420,1989-05-31
경인전자,009140,1989-06-20
인디에프,014990,1989-06-20
무림P&P,009580,1989-06-20
사조동아원,008040,1989-06-24
사조산업,007160,1989-07-25
대창단조,015230,1989-07-25
한익스프레스,014130,1989-07-25
윌비스,008600,1989-07-28
SIMPAC,009160,1989-07-29
녹십자,006280,1989-08-01
국도화학,007690,1989-08-05
한국전력공사,015760,1989-08-10
현대지에프홀딩스,005440,1989-08-22
KG케미칼,001390,1989-08-25
현대해상,001450,1989-08-25
대우부품,009320,1989-08-25
쎌마테라퓨틱스,015540,1989-09-02
세우글로벌,013000,1989-09-05
현대모비스,012330,1989-09-05
SBI인베스트먼트,019550,1989-09-06
서연,007860,1989-09-09
미원상사,002840,1989-09-25
삼익THK,004380,1989-09-26
미창석유공업,003650,1989-09-27
진양폴리우레탄,010640,1989-09-30
SK텔레콤,017670,1989-11-07
삼양통상,002170,1989-11-10
한솔로지스틱스,009180,1989-11-13
태영건설,009410,1989-11-13
KISCO홀딩스,001940,1989-11-13
한국특강,007280,1989-11-13
갤럭시아에스엠,011420,1989-11-14
남성,004270,1989-11-14
광동제약,009290,1989-11-17
까뮤이앤씨,013700,1989-11-30
보락,002760,1989-11-30
선도전기,007610,1989-11-30
씨아이테크,004920,1989-11-30
